신호,비트수,부호여부,표현범위,실제값
장애물까지 거리,15,unsigned,0~20000,0~200.00m (x100 cm 단위)
속도x y z(자동차),14,signed,-5555~5555,-55.55~55.55 m/s (x100 cm/s 단위)
가속도(x y z),12,signed,-1600~1600,-16.00~16.00 m/s^2 (x100 cm/s^2 단위)
각속도(x y z),16,signed,-16000~16000,-16.000~16.000 rad/s (x1000 mrad/s 단위)
온도,11,signed,-500~600,-50.0~60.0도
습도,7,unsigned,0~100,0~100%
조도,18,unsigned,0~130000,0~130000 lux
날씨,2,unsigned,0~3,0:맑음 1:안개 2:비 3:눈
rpm,2,unsigned,0~3,0: 0~1999 1: 2000~3999 2: 4000~5999 3: 6000~8000
악셀,4,unsigned,0~10,0~10
브레이크,4,unsigned,0~10,0~10
방향 (Steering),8,signed,-100~100,-1.0~1.0 (x100 비율)
manual mode,1,unsigned,0~1,0 또는 1
기어,2,unsigned,0~3,0~3
전조등,1,unsigned,0~1,0 또는 1
비상등,1,unsigned,0~1,0 또는 1
접근속도,13,signed,-4000~4000,-40.00~40.00 m/s (x100 cm/s 단위)
제한속도,13,unsigned,0~5555,0~55.55 m/s (x100 cm/s 단위)
기울기(x y z),16,signed,-18000~18000,-180.00~180.00도 (x100 스케일)
