road_id,lane_count,lane_ids,point_count
0,2,"[-1, 1]",36
1,2,"[-1, 1]",86
2,2,"[-1, 1]",6
3,2,"[-1, 1]",4
4,2,"[-1, 1]",32
5,2,"[-1, 1]",96
6,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",256
7,2,"[-1, 1]",24
8,2,"[-1, 1]",44
9,2,"[-1, 1]",50
10,2,"[-1, 1]",38
11,2,"[-1, 1]",38
12,2,"[-1, 1]",2
13,2,"[-1, 1]",4
14,2,"[-1, 1]",14
15,2,"[-1, 1]",34
16,2,"[-1, 1]",42
17,2,"[-1, 1]",58
18,2,"[-1, 1]",72
19,2,"[-1, 1]",36
20,2,"[-1, 1]",10
21,1,[4],1
22,2,"[-3, -2]",470
23,2,"[-3, -2]",430
24,2,"[-1, 1]",20
25,2,"[-1, 1]",92
26,2,"[-1, 1]",40
27,2,"[-1, 1]",34
28,2,"[-1, 1]",32
29,2,"[-1, 1]",58
30,2,"[-1, 1]",44
31,1,[2],89
32,2,"[-1, 1]",34
33,1,[2],84
34,1,[2],94
35,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",1144
36,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",328
37,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",168
38,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",984
39,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",536
40,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",952
41,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",840
42,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",136
43,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",136
44,1,[2],90
45,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",2344
46,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",560
47,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",456
48,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",256
49,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",160
50,8,"[-4, -3, -2, -1, 3, 4, 5, 6]",712
51,2,"[-1, 1]",214
52,2,"[-1, 1]",102
54,1,[1],8
61,1,[-1],8
63,1,[-1],8
65,1,[-1],8
88,1,[1],10
89,1,[-1],10
108,1,[-1],10
109,1,[1],10
115,1,[1],8
119,1,[1],8
124,1,[1],8
128,1,[-1],8
135,1,[-1],40
136,1,[-1],40
144,4,"[3, 4, 5, 6]",144
145,4,"[-4, -3, -2, -1]",144
149,1,[-1],10
158,1,[1],10
161,1,[1],9
170,1,[1],10
179,1,[1],11
189,1,[1],11
209,1,[1],11
210,1,[-1],11
225,1,[1],10
231,1,[-1],10
241,1,[1],10
247,1,[1],10
266,4,"[3, 4, 5, 6]",44
267,3,"[-3, -2, -1]",33
271,1,[-1],11
275,1,[1],11
290,1,[1],10
291,1,[-1],10
306,1,[-1],8
314,1,[-1],8
321,1,[1],8
330,1,[-1],8
350,1,[1],10
351,1,[-1],10
372,1,[-1],8
381,1,[-1],8
385,1,[-1],8
393,1,[1],8
407,1,[-1],8
413,1,[1],8
419,1,[1],8
428,1,[1],8
457,1,[1],10
458,1,[-1],10
467,1,[1],26
468,1,[-1],26
477,1,[1],26
496,1,[1],10
497,1,[-1],10
510,1,[1],8
518,1,[-1],8
528,1,[-1],8
540,1,[-1],8
556,1,[1],8
561,1,[1],8
569,1,[1],8
573,1,[-1],8
593,1,[-1],10
594,1,[1],10
633,1,[1],10
634,1,[-1],10
653,1,[-1],9
661,1,[-1],9
666,1,[1],10
674,1,[-1],10
684,1,[-1],9
695,1,[1],9
702,1,[1],10
708,1,[1],10
731,1,[1],12
732,1,[-1],12
746,1,[-1],11
749,1,[-1],11
760,3,"[-3, -2, -1]",33
761,4,"[3, 4, 5, 6]",44
774,4,"[-4, -3, -2, -1]",104
775,4,"[3, 4, 5, 6]",104
779,2,"[2, 6]",26
782,2,"[-4, -2]",27
797,1,[-1],10
798,1,[1],10
799,1,[-1],8
807,1,[1],8
808,1,[1],8
816,1,[1],8
819,1,[-1],8
826,1,[-1],8
828,1,[-1],8
829,1,[1],8
844,1,[1],10
845,1,[-1],10
861,3,"[-3, -2, -1]",33
862,4,"[3, 4, 5, 6]",44
863,1,[-1],11
867,1,[-1],10
879,1,[-1],8
880,1,[1],8
886,1,[1],10
901,3,"[-3, -2, -1]",33
902,4,"[3, 4, 5, 6]",44
907,1,[1],10
912,1,[-1],11
926,1,[1],11
927,1,[-1],11
943,1,[-1],9
949,1,[-1],9
955,1,[-1],10
962,1,[1],10
968,1,[1],9
974,1,[-1],9
981,1,[1],8
988,1,[1],8
996,1,[-1],11
1003,1,[1],11
1012,1,[1],8
1015,1,[-1],9
1024,1,[1],9
1028,1,[1],9
1043,1,[1],11
1044,1,[-1],11
1072,4,"[-4, -3, -2, -1]",152
1073,4,"[3, 4, 5, 6]",152
1076,2,"[2, 6]",39
1080,2,"[2, 4]",39
1091,4,"[-4, -3, -2, -1]",128
1092,4,"[3, 4, 5, 6]",128
1097,2,"[2, 4]",33
1101,2,"[2, 6]",33
1114,1,[-1],12
1115,1,[1],12
1122,1,[1],10
1133,1,[-1],11
1141,1,[-1],10
1148,1,[-1],10
1161,1,[1],41
1162,2,"[3, 6]",41
1173,4,"[-4, -3, -2, -1]",148
1174,4,"[3, 4, 5, 6]",148
1184,4,"[-4, -3, -2, -1]",108
1185,4,"[3, 4, 5, 6]",108
1191,2,"[-4, -2]",26
1194,2,"[2, 6]",28
1209,1,[-1],14
1210,1,[1],14
1217,1,[-1],12
1225,1,[1],12
1232,1,[-1],11
1239,1,[-1],11
1263,1,[1],10
1264,1,[-1],10
1281,1,[-1],8
1288,1,[-1],8
1297,1,[1],8
1307,1,[-1],8
1312,1,[-1],8
1318,1,[1],8
1327,1,[1],8
1337,1,[1],8
1360,1,[1],10
1361,1,[-1],10
1400,4,"[3, 4, 5, 6]",112
1401,4,"[-4, -3, -2, -1]",112
1412,1,[-1],26
1421,1,[-1],28
1432,1,[-1],30
1442,1,[-1],31
1450,1,[-1],23
1465,1,[1],10
1466,1,[-1],10
1479,1,[-1],8
1488,1,[-1],8
1497,1,[-1],8
1507,1,[1],8
1522,1,[-1],8
1531,1,[1],8
1539,1,[1],9
1546,1,[1],8
1567,1,[1],10
1568,1,[-1],10
1594,1,[-1],28
1595,1,[-1],28
1601,4,"[3, 4, 5, 6]",84
1602,4,"[-4, -3, -2, -1]",84
