Time,Speed,RPM,Gear,Steering,Weather,Temperature,Humidity,Lux,RoadSpeedLimit,FrontDistance,DistanceOverRange,ClosingSpeed,TTC,TTCRisk,TTCThrottle,TTCBrake,TTCGearDown,TTCHazard,RoadRisk,RoadSurfaceGrade,RoadShockGrade,RoadThrottle,RoadBrake,RoadSpeedLimitCmd,RoadGearDown,VisionRisk,VisionLuxGrade,VisionWeatherGrade,VisionThrottle,VisionSpeedLimitCmd,VisionHeadlight,VisionHazard,PostureRisk,PostureRollGrade,PostureYawGrade,PostureLateralGrade,PostureThrottle,PostureBrake,PostureSteerRateLimit,PostureGearDown,FinalRisk,FinalThrottle,FinalBrake,FinalSteering,FinalSteerRateLimit,FinalSpeedLimit,FinalGearDown,Headlight,Hazard,ManualMode,AutonomousControl,EmergencyStop
0.05,1.76,800,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.1,3.53,1146,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.15,5.29,1719,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.2,7.06,2292,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.25,4.12,1339,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.3,1.95,800,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.35,1.26,800,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.4,1.67,800,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.45,2.68,871,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.5,3.41,1108,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.55,4.16,1350,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.6,4.77,1550,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
0.65,5.52,1792,1,12,0,22.0,30.0,10950.0,130,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,130,False,0,DIM,CLEAR,10,130,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,130,False,True,False,False,True,False
