sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00030000,000203D7,00010004,00000000,001F0000,BC004E20,20007540,A004E7AF,00000420,00000001
2,50000000,00070002,000703D8,00000007,00000000,001F0000,BC004E20,20007545,A004E7B0,00000420,00000002
3,50000000,00090005,000B03D7,FFFE0007,00000000,001F0000,BC004E20,2000753B,A004E7B1,00000420,00000003
4,50000000,000A0008,000F03D5,FFFA0005,00000000,001F0000,BE004E20,20007524,A004E7B1,00000420,00000004
5,50000000,0009000A,001003D2,FFF50001,00000000,001F0000,C0004E20,20007502,A004E7B1,00000420,00000005
6,50000000,0006000B,001003CF,FFF1FFFD,00000000,001F0000,C0004E20,200074D8,A004E7B0,00000420,00000006
7,50000000,0003000B,000E03CC,FFEFFFFB,00000000,001F0000,C0004E20,200074AB,A004E7B0,00000420,00000007
8,50000000,00010009,000B03CA,FFEEFFFB,00000000,001F0000,BE004E20,20007483,A004E7AF,00000420,00000008
9,50000000,00010007,000803C9,FFEFFFFE,00000000,001F0000,BA004E20,20007463,A004E7AF,00000420,00000009
10,50000000,00020005,000703CB,FFF10000,00000000,001F0000,BA004E20,20007452,A004E7B0,00000420,0000000A
11,50000000,00050005,000803CD,FFF50002,00000000,001F0000,BC7D1770,20007452,A004E7B0,00000408,0000000B
12,50000000,00060006,000A03CF,FFF80001,00000000,001F0000,BE7D170C,20007461,A004E7B0,00000420,0000000C
13,50000000,00070009,000D03D1,FFFBFFFE,00000000,001F0000,C27D16A8,2000747D,A004E7B1,00000420,0000000D
14,50000000,0006000C,001003D2,FFFDFFFA,00000000,001F0000,C27D1644,2000749E,A004E7B0,00000420,0000000E
15,50000000,0003000E,001103D2,FFFCFFF7,00000000,001F0000,C07D15E0,200074C0,A004E7B0,00000420,0000000F
16,50000000,0000000F,001003D0,FFFBFFF7,00000000,001F0000,BE7D157C,200074DC,A004E7B0,00000420,00000010
17,50000000,FFFD000F,000D03CE,FFF8FFFA,00000000,001F0000,BA7D1518,200074ED,A004E7AF,00000420,00000011
18,50000000,FFFC000D,000903CB,FFF5FFFE,00000000,001F0000,BA7D14B4,200074F3,A004E7B0,00000420,00000012
19,50000000,FFFD0009,000503CA,FFF40002,00000000,001F0000,BC7D1450,200074ED,A004E7B0,00000420,00000013
20,50000000,FFFF0006,000103C9,FFF30004,00000000,001F0000,C07D13EC,200074DC,A004E7B0,00000420,00000014
21,50000000,00020004,000003CB,FFF40004,00000000,001F0000,C47D1388,200074C4,A004E7B1,00000420,00000015
22,50000000,00050003,000103CD,FFF70002,00000000,001F0000,C27D1324,200074A8,A004E7B1,00000420,00000016
23,50000000,00060004,000403D1,FFFBFFFF,00000000,001F0000,BE7D12C0,2000748E,A004E7B1,00000420,00000017
24,50000000,00050006,000703D4,FFFFFFFD,00000000,001F0000,BA7D125C,2000747C,A004E7B0,00000420,00000018
25,50000000,00030008,000A03D7,0003FFFE,00000000,001F0000,B87D11F8,20007474,A004E7AF,00000420,00000019
26,50000000,00010009,000B03D8,00050000,00000000,001F0000,BA7D1194,2000747C,A004E7AF,00000420,0000001A
27,50000000,0000000A,000A03D8,00050004,00000000,001F0000,BE7D1130,20007494,A004E7AF,00000420,0000001B
28,50000000,00010008,000803D6,00030006,00000000,001F0000,C27D10CC,200074B7,A004E7B0,00000420,0000001C
