sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,0058FFCD,000203D2,00010004,012C01F4,00000000,4E004E20,20007540,A004E0DB,00000000,00000001
2,50000000,0059FFCE,000403D1,FFFF0003,012C01F4,00000000,4C004E20,20007545,A004E0DB,00000000,00000002
3,50000000,0058FFD0,000403CF,FFFD0000,012C01F4,00000000,4C004E20,2000753B,A004E0DC,00000000,00000003
4,50000000,0056FFD0,000403CE,FFFCFFFE,012C01F4,00000000,4A004E20,20007524,A004E0DD,00000000,00000004
5,50000000,0054FFCF,000203CD,FFFCFFFC,012C01F4,00000000,4C004E20,20007502,A004E0DF,00000000,00000005
6,50000000,0053FFCE,000003CC,FFFCFFFC,012C01F4,00000000,4E004E20,200074D8,A004E0DF,00000000,00000006
7,50000000,0053FFCC,FFFE03CD,FFFDFFFE,012C01F4,00000000,50004E20,200074AB,A004E0DE,00000000,00000007
8,50000000,0054FFCB,FFFD03CE,FFFF0000,012C01F4,00000000,50004E20,20007483,A004E0DD,00000000,00000008
9,50000000,0055FFCB,FFFD03D0,00010002,012C01F4,00000000,4C004E20,20007463,A004E0DC,00000000,00000009
10,50000000,0057FFCB,FFFF03D1,00030003,012C01F4,00000000,48004E20,20007452,A004E0DC,00000000,0000000A
11,50000000,0058FFCC,000103D2,00040001,012C01F4,00000000,46004E20,20007452,A004E0DC,00000000,0000000B
12,50000000,0057FFCE,000203D2,0004FFFF,012C01F4,00000000,48004E20,20007461,A004E0DC,00000000,0000000C
13,50000000,0056FFCF,000303D2,0003FFFD,012C01F4,00000000,4C004E20,2000747D,A004E0DD,00000000,0000000D
14,50000000,0054FFD0,000303D1,0001FFFC,012C01F4,00000000,50004E20,2000749E,A004E0DD,00000000,0000000E
15,50000000,0053FFCF,000103D0,0000FFFD,012C01F4,00000000,54004E20,200074C0,A004E0DD,00000000,0000000F
16,50000000,0052FFCE,FFFF03CE,FFFE0000,012C01F4,00000000,52004E20,200074DC,A004E0DC,00000000,00000010
17,50000000,0053FFCC,FFFD03CE,FFFD0002,012C01F4,00000000,4E004E20,200074ED,A004E0DC,00000000,00000011
18,50000000,0054FFCA,FFFC03CE,FFFD0004,012C01F4,00000000,4A004E20,200074F3,A004E0DB,00000000,00000012
19,50000000,0056FFC9,FFFC03CE,FFFE0004,012C01F4,00000000,48004E20,200074ED,A004E0DB,00000000,00000013
20,50000000,0058FFC9,FFFD03D0,00000002,012C01F4,00000000,4A004E20,200074DC,A004E0DB,00000000,00000014
21,50000000,0058FFCA,FFFF03D1,00010000,012C01F4,00000000,50004E20,200074C4,A004E0DC,00000000,00000015
22,50000000,0058FFCC,000103D3,0003FFFE,012C01F4,00000000,54004E20,200074A8,A004E0DD,00000000,00000016
23,50000000,0056FFCD,000303D3,0004FFFD,012C01F4,00000000,54004E20,2000748E,A004E0DE,00000000,00000017
24,50000000,0055FFCF,000303D3,0004FFFE,012C01F4,00000000,50004E20,2000747C,A004E0DF,00000000,00000018
25,50000000,0053FFCF,000303D3,00040001,012C01F4,00000000,48004E20,20007474,A004E0DE,00000000,00000019
26,50000000,0053FFCE,000103D1,00020003,012C01F4,00000000,46004E20,2000747C,A004E0DD,00000000,0000001A
27,50000000,0054FFCD,FFFF03D0,00000003,012C01F4,00000000,46004E20,20007494,A004E0DC,00000000,0000001B
28,50000000,0056FFCB,FFFE03CE,FFFE0002,012C01F4,00000000,4A004E20,200074B7,A004E0DC,00000000,0000001C
