sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00030000,000203D7,00010004,00000000,00220000,4E004E20,20007540,A004E0DB,00000B20,00000001
2,50000000,00070002,000703D8,00000007,00000000,00220000,4C004E20,20007545,A004E0DB,00000B20,00000002
3,50000000,00090005,000B03D7,FFFE0007,00000000,00220000,4C004E20,2000753B,A004E0DC,00000B20,00000003
4,50000000,000A0008,000F03D5,FFFA0005,00000000,00220000,4A004E20,20007524,A004E0DD,00000B20,00000004
5,50000000,0009000A,001003D2,FFF50001,00000000,00220000,4C004E20,20007502,A004E0DF,00000B20,00000005
6,50000000,0006000B,001003CF,FFF1FFFD,00000000,00220000,4E004E20,200074D8,A004E0DF,00000B20,00000006
7,50000000,0003000B,000E03CC,FFEFFFFB,00000000,00220000,50004E20,200074AB,A004E0DE,00000B20,00000007
8,50000000,00010009,000B03CA,FFEEFFFB,00000000,00220000,50004E20,20007483,A004E0DD,00000B20,00000008
9,50000000,00010007,000803C9,FFEFFFFE,00000000,00220000,4C004E20,20007463,A004E0DC,00000B20,00000009
10,50000000,00020005,000703CB,FFF10000,00000000,00220000,48004E20,20007452,A004E0DC,00000B20,0000000A
11,50000000,00050005,000803CD,FFF50002,00000000,00220000,46004E20,20007452,A004E0DC,00000B20,0000000B
12,50000000,00060006,000A03CF,FFF80001,00000000,00220000,48004E20,20007461,A004E0DC,00000B20,0000000C
13,50000000,00070009,000D03D1,FFFBFFFE,00000000,00220000,4C004E20,2000747D,A004E0DD,00000B20,0000000D
14,50000000,0006000C,001003D2,FFFDFFFA,00000000,00220000,50004E20,2000749E,A004E0DD,00000B20,0000000E
15,50000000,0003000E,001103D2,FFFCFFF7,00000000,00220000,54004E20,200074C0,A004E0DD,00000B20,0000000F
16,50000000,0000000F,001003D0,FFFBFFF7,00000000,00220000,52004E20,200074DC,A004E0DC,00000B20,00000010
17,50000000,FFFD000F,000D03CE,FFF8FFFA,00000000,00220000,4E004E20,200074ED,A004E0DC,00000B20,00000011
18,50000000,FFFC000D,000903CB,FFF5FFFE,00000000,00220000,4A004E20,200074F3,A004E0DB,00000B20,00000012
19,50000000,FFFD0009,000503CA,FFF40002,00000000,00220000,48004E20,200074ED,A004E0DB,00000B20,00000013
20,50000000,FFFF0006,000103C9,FFF30004,00000000,00220000,4A004E20,200074DC,A004E0DB,00000B20,00000014
21,50000000,00020004,000003CB,FFF40004,00000000,00220000,50004E20,200074C4,A004E0DC,00000B20,00000015
22,50000000,00050003,000103CD,FFF70002,00000000,00220000,54004E20,200074A8,A004E0DD,00000B20,00000016
23,50000000,00060004,000403D1,FFFBFFFF,00000000,00220000,54004E20,2000748E,A004E0DE,00000B20,00000017
24,50000000,00050006,000703D4,FFFFFFFD,00000000,00220000,50004E20,2000747C,A004E0DF,00000B20,00000018
25,50000000,00030008,000A03D7,0003FFFE,00000000,00220000,48004E20,20007474,A004E0DE,00000B20,00000019
26,50000000,00010009,000B03D8,00050000,00000000,00220000,46004E20,2000747C,A004E0DD,00000B20,0000001A
27,50000000,0000000A,000A03D8,00050004,00000000,00220000,46004E20,20007494,A004E0DC,00000B20,0000001B
28,50000000,00010008,000803D6,00030006,00000000,00220000,4A004E20,200074B7,A004E0DC,00000B20,0000001C
29,50000000,00030006,000503D4,00000006,00000000,00220000,50004E20,200074E4,A004E0DD,00000B20,0000001D
30,50000000,00060003,000303D1,FFFC0004,00000000,00220000,52004E20,20007510,A004E0DE,00000B20,0000001E
31,50000000,00090001,000203CF,FFF8FFFF,00000000,00220000,50004E20,20007537,A004E0DF,00000B20,0000001F
32,50000000,000A0000,000303CE,FFF6FFFB,00000000,00220000,4C004E20,20007553,A004E0DE,00000B20,00000020
33,50000000,000A0002,000703CF,FFF4FFF9,00000000,00220000,48004E20,20007560,A004E0DC,00000B20,00000021
34,50000000,00070004,000B03D1,FFF5FFF9,00000000,00220000,48004E20,2000755E,A004E0DB,00000B20,00000022
35,50000000,00040008,000F03D3,FFF7FFFB,00000000,00220000,4A004E20,2000754E,A004E0D9,00000B20,00000023
36,50000000,0001000B,001203D5,FFF9FFFE,00000000,00220000,4E004E20,20007533,A004E0DA,00000B20,00000024
37,50000000,0000000D,001203D6,FFFC0001,00000000,00220000,52004E20,20007511,A004E0DB,00000B20,00000025
38,50000000,0000000D,001103D6,FFFD0000,00000000,00220000,52004E20,200074ED,A004E0DD,00000B20,00000026
39,50000000,0001000C,000D03D4,FFFEFFFE,00000000,00220000,50004E20,200074CD,A004E0DF,00000B20,00000027
40,50000000,0003000A,000A03D1,FFFCFFFB,00000000,00220000,4E004E20,200074B4,A004E0DF,00000B20,00000028
41,50000000,00050008,000703CD,FFF9FFF9,00000000,00220000,4A004E20,200074A8,A004E0DD,00000B20,00000029
42,50000000,00050006,000603CA,FFF5FFF9,00000000,00220000,4A004E20,200074A9,A004E0DB,00000B20,0000002A
43,50000000,00030006,000703C8,FFF1FFFB,00000000,00220000,4C004E20,200074B8,A004E0DA,00000B20,0000002B
44,50000000,00010008,000A03C8,FFEF0000,00000000,00220000,4C004E20,200074D1,A004E0DB,00000B20,0000002C
45,50000000,FFFE000A,000C03C9,FFED0004,00000000,00220000,4E004E20,200074EE,A004E0DE,00000B20,0000002D
