sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,02F10000,000203D7,01F50004,00000000,00170000,4E004E20,20007540,A004E0DB,00000710,00000001
2,50000000,02F10002,000703D8,01F30007,00000000,0017008F,4C004E20,20007545,A004E0DB,00000710,00000002
3,50000000,02F00005,000B03D7,01F10007,00000000,0017011E,4C004E20,2000753B,A004E0DC,00000710,00000003
4,50000000,02EF0008,000F03D5,01F00005,00000000,001701AE,4A004E20,20007524,A004E0DD,00000710,00000004
5,50000000,02ED000A,001003D2,01F00001,00000000,0017023D,4C004E20,20007502,A004E0DF,00000710,00000005
6,50000000,02EB000B,001003CF,01F0FFFD,00000000,001702CC,4E004E20,200074D8,A004E0DF,00000710,00000006
7,50000000,02EB000B,000E03CC,01F1FFFB,00000000,0017035B,50004E20,200074AB,A004E0DE,00000710,00000007
8,50000000,02EC0009,000B03CA,01F3FFFB,00000000,001703EB,50004E20,20007483,A004E0DD,00000710,00000008
9,50000000,02EE0007,000803C9,01F5FFFE,00000000,0017047A,4C004E20,20007463,A004E0DC,00000710,00000009
10,50000000,02EF0005,000703CB,01F70000,00000000,00170509,48004E20,20007452,A004E0DC,00000710,0000000A
11,50000000,02F00005,000803CD,01F80002,00000000,00170598,46004E20,20007452,A004E0DC,00000710,0000000B
12,50000000,02F00006,000A03CF,01F80001,00000000,00170628,48004E20,20007461,A004E0DC,00000710,0000000C
13,50000000,02EF0009,000D03D1,01F7FFFE,00000000,001706B7,4C004E20,2000747D,A004E0DD,00000710,0000000D
14,50000000,02ED000C,001003D2,01F5FFFA,00000000,00170746,50004E20,2000749E,A004E0DD,00000710,0000000E
15,50000000,02EB000E,001103D2,01F4FFF7,00000000,001707D5,54004E20,200074C0,A004E0DD,00000710,0000000F
16,50000000,02EB000F,001003D0,01F2FFF7,00000000,00170865,52004E20,200074DC,A004E0DC,00000710,00000010
17,50000000,02EB000F,000D03CE,01F1FFFA,00000000,001708F4,4E004E20,200074ED,A004E0DC,00000710,00000011
18,50000000,02ED000D,000903CB,01F1FFFE,00000000,00170983,4A004E20,200074F3,A004E0DB,00000710,00000012
19,50000000,02EF0009,000503CA,01F20002,00000000,00170A12,48004E20,200074ED,A004E0DB,00000710,00000013
20,50000000,02F00006,000103C9,01F40004,00000000,00170AA2,4A004E20,200074DC,A004E0DB,00000710,00000014
21,50000000,02F10004,000003CB,01F50004,00000000,00170B31,50004E20,200074C4,A004E0DC,00000710,00000015
22,50000000,02F00003,000103CD,01F70002,00000000,00170BC0,54004E20,200074A8,A004E0DD,00000710,00000016
23,50000000,02EF0004,000403D1,01F8FFFF,00000000,00170C4F,54004E20,2000748E,A004E0DE,00000710,00000017
