#-----------------------------------------------------------
# xsim v2022.2 (64-bit)
# SW Build 3671981 on Fri Oct 14 05:00:03 MDT 2022
# IP Build 3669848 on Fri Oct 14 08:30:02 MDT 2022
# Start of session at: Wed Aug 12 23:37:32 2026
# Process ID: 40688
# Current directory: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1
# Command line: xsim.exe -mode tcl -source {xsim.dir/tb_core_logic_snap/xsim_script.tcl}
# Log file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1/xsim.log
# Journal file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1\xsim.jou
# Running On: JH_HP, OS: Windows, CPU Frequency: 1996 MHz, CPU Physical cores: 12, Host memory: 16697 MB
#-----------------------------------------------------------
source xsim.dir/tb_core_logic_snap/xsim_script.tcl
# xsim {tb_core_logic_snap} -autoloadwcfg -tclbatch {run.tcl}
Time resolution is 1 ps
source run.tcl
## log_wave -recursive *
WARNING: [Simtcl 6-197] One or more HDL objects could not be logged because of object type or size limitations.  To see details please rerun the command with -verbose (-v).
## run all
[TB] System Reset...
[TB] Reset Released. Wait for pipeline...
[105000] SEQ: 1 | Dist_out: 0 | MRM: 0 | TD_remain: 11
[215000] SEQ: 2 | Dist_out: 10 | MRM: 0 | TD_remain: 11
[325000] SEQ: 3 | Dist_out: 20 | MRM: 0 | TD_remain: 11
[435000] SEQ: 4 | Dist_out: 30 | MRM: 0 | TD_remain: 11
[545000] SEQ: 5 | Dist_out: 40 | MRM: 0 | TD_remain: 11
[655000] SEQ: 6 | Dist_out: 50 | MRM: 0 | TD_remain: 11
[765000] SEQ: 7 | Dist_out: 60 | MRM: 0 | TD_remain: 11
[875000] SEQ: 8 | Dist_out: 70 | MRM: 0 | TD_remain: 11
[985000] SEQ: 9 | Dist_out: 80 | MRM: 0 | TD_remain: 11
[1095000] SEQ: 10 | Dist_out: 90 | MRM: 0 | TD_remain: 11
[1205000] SEQ: 11 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[1315000] SEQ: 12 | Dist_out: 110 | MRM: 0 | TD_remain: 11
[1425000] SEQ: 13 | Dist_out: 120 | MRM: 0 | TD_remain: 11
[1535000] SEQ: 14 | Dist_out: 130 | MRM: 0 | TD_remain: 11
[1645000] SEQ: 15 | Dist_out: 140 | MRM: 0 | TD_remain: 11
[1755000] SEQ: 16 | Dist_out: 150 | MRM: 0 | TD_remain: 11
[1865000] SEQ: 17 | Dist_out: 160 | MRM: 0 | TD_remain: 11
[1975000] SEQ: 18 | Dist_out: 170 | MRM: 0 | TD_remain: 11
[2085000] SEQ: 19 | Dist_out: 180 | MRM: 0 | TD_remain: 11
[2195000] SEQ: 20 | Dist_out: 190 | MRM: 0 | TD_remain: 11
[2305000] SEQ: 21 | Dist_out: 200 | MRM: 0 | TD_remain: 11
[2415000] SEQ: 22 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[2525000] SEQ: 23 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[2635000] SEQ: 24 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[2745000] SEQ: 25 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[2855000] SEQ: 26 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[2965000] SEQ: 27 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3075000] SEQ: 28 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3185000] SEQ: 29 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3295000] SEQ: 30 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3405000] SEQ: 31 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3515000] SEQ: 32 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3625000] SEQ: 33 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3735000] SEQ: 34 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3845000] SEQ: 35 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[3955000] SEQ: 36 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4065000] SEQ: 37 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4175000] SEQ: 38 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4285000] SEQ: 39 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4395000] SEQ: 40 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4505000] SEQ: 41 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4615000] SEQ: 42 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4725000] SEQ: 43 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4835000] SEQ: 44 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[4945000] SEQ: 45 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5055000] SEQ: 46 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5165000] SEQ: 47 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5275000] SEQ: 48 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5385000] SEQ: 49 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5495000] SEQ: 50 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5605000] SEQ: 51 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5715000] SEQ: 52 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5825000] SEQ: 53 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[5935000] SEQ: 54 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6045000] SEQ: 55 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6155000] SEQ: 56 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6265000] SEQ: 57 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6375000] SEQ: 58 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6485000] SEQ: 59 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6595000] SEQ: 60 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6705000] SEQ: 61 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6815000] SEQ: 62 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[6925000] SEQ: 63 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7035000] SEQ: 64 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7145000] SEQ: 65 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7255000] SEQ: 66 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7365000] SEQ: 67 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7475000] SEQ: 68 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7585000] SEQ: 69 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7695000] SEQ: 70 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7805000] SEQ: 71 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[7915000] SEQ: 72 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8025000] SEQ: 73 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8135000] SEQ: 74 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8245000] SEQ: 75 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8355000] SEQ: 76 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8465000] SEQ: 77 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8575000] SEQ: 78 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8685000] SEQ: 79 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8795000] SEQ: 80 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[8905000] SEQ: 81 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[9015000] SEQ: 82 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[9125000] SEQ: 83 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[9235000] SEQ: 84 | Dist_out: 100 | MRM: 0 | TD_remain: 11
