sample_seq,fault_label,reliability_word,active_detectors,invalid_channels,active_control_flags,changed_commands,input_accelerator,output_accelerator,input_brake,output_brake,input_steering_raw,output_steering_raw,input_speed_limit,output_speed_limit,td_remain_sec,invariant_violations
1,none,00050005,noise:distance;noise:approach_speed;noise:temperature;noise:humidity,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
2,none,00050005,noise:distance;noise:approach_speed;noise:temperature;noise:humidity,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
3,none,00050105,noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
4,none,00050155,jump:accel_x;jump:accel_y;jump:accel_z;noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
5,none,00050105,noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
6,none,00050105,noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
7,none,00050105,noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
8,none,00050105,jump:approach_speed;noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity;consistency:accel_z,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
9,none,00050105,jump:approach_speed;noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity;consistency:accel_z,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
10,none,00050105,jump:approach_speed;noise:distance;noise:approach_speed;noise:accel_z;noise:temperature;noise:humidity;consistency:accel_z,,,accelerator;brake;speed_limit,10,0,0,2,0,0,8160,6526,11,
